trial_id,phase,region,mean_activity,max_activity,activity_variance,start_time,end_time,spike_counts
0,execution,M1,6.71830985915493,33,51.17417179131127,1.413,3.421,"[7, 13, 8, 1, 2, 1, 5, 0, 3, 0, 21, 0, 5, 13, 3, 8, 6, 1, 1, 1, 0, 8, 0, 0, 0, 14, 21, 1, 0, 0, 3, 12, 3, 18, 3, 3, 0, 5, 0, 2, 15, 6, 0, 2, 0, 13, 6, 3, 2, 3, 15, 11, 7, 3, 2, 33, 8, 16, 5, 2, 10, 0, 10, 15, 17, 2, 0, 3, 12, 24, 6, 1, 20, 5, 5, 2, 10, 4, 23, 1, 32, 5, 0, 9, 1, 4, 16, 0, 11, 5, 1, 2, 2, 3, 8, 11, 8, 6, 11, 2, 4, 1, 4, 12, 0, 3, 0, 5, 6, 15, 15, 8, 9, 8, 10, 4, 30, 0, 3, 16, 32, 11, 7, 9, 0, 8, 21, 12, 0, 1, 0, 2, 1, 4, 7, 12, 3, 8, 5, 0, 0, 7]"
1,execution,M1,4.880281690140845,27,26.626512596707,4.324,5.631,"[2, 0, 3, 0, 2, 0, 2, 0, 1, 3, 20, 6, 17, 9, 2, 3, 2, 0, 0, 1, 3, 6, 0, 1, 0, 9, 6, 0, 0, 1, 6, 12, 1, 17, 2, 1, 1, 0, 0, 0, 4, 3, 1, 1, 1, 4, 5, 8, 4, 8, 5, 8, 4, 0, 9, 12, 15, 7, 8, 6, 8, 0, 5, 3, 6, 1, 2, 3, 3, 8, 5, 0, 15, 2, 4, 0, 1, 5, 17, 0, 14, 1, 7, 5, 7, 1, 15, 0, 4, 0, 2, 3, 1, 4, 5, 6, 1, 8, 9, 1, 9, 0, 6, 9, 4, 5, 0, 1, 5, 10, 12, 18, 6, 16, 1, 0, 9, 2, 2, 27, 16, 2, 11, 5, 0, 8, 15, 13, 0, 2, 0, 4, 1, 6, 3, 11, 1, 8, 2, 0, 0, 9]"
2,execution,M1,7.936619718309859,46,67.63682801031543,6.54,8.536,"[1, 9, 11, 0, 1, 1, 1, 0, 7, 3, 29, 2, 13, 17, 10, 7, 4, 1, 2, 0, 2, 4, 1, 5, 0, 14, 2, 6, 2, 1, 13, 6, 2, 14, 4, 5, 0, 6, 0, 1, 11, 14, 1, 9, 1, 6, 6, 5, 4, 6, 7, 16, 10, 0, 8, 18, 12, 32, 7, 5, 8, 0, 15, 10, 13, 2, 4, 7, 10, 16, 2, 0, 26, 2, 6, 1, 6, 4, 23, 1, 46, 5, 1, 9, 5, 7, 29, 0, 8, 2, 2, 0, 0, 12, 4, 17, 18, 16, 11, 2, 6, 0, 8, 12, 0, 14, 2, 2, 7, 10, 13, 5, 13, 16, 19, 5, 11, 1, 3, 22, 40, 12, 12, 18, 0, 18, 26, 5, 0, 1, 0, 6, 5, 9, 7, 27, 2, 14, 8, 0, 0, 13]"
3,execution,M1,5.232394366197183,22,27.15021821067248,10.259,11.746,"[6, 2, 13, 0, 0, 1, 1, 2, 3, 0, 14, 0, 4, 17, 5, 3, 8, 0, 0, 0, 0, 1, 0, 0, 0, 14, 12, 0, 3, 2, 0, 12, 1, 12, 2, 0, 0, 1, 0, 1, 13, 8, 2, 0, 1, 14, 5, 7, 1, 3, 9, 22, 3, 0, 8, 21, 18, 8, 8, 1, 12, 1, 4, 8, 10, 1, 0, 5, 5, 20, 3, 0, 11, 1, 4, 6, 1, 6, 9, 3, 13, 6, 1, 5, 5, 5, 9, 0, 7, 0, 3, 0, 1, 12, 2, 6, 8, 7, 11, 7, 3, 0, 4, 4, 4, 15, 0, 1, 6, 10, 12, 12, 11, 6, 12, 7, 11, 3, 2, 14, 12, 7, 6, 3, 0, 1, 13, 12, 0, 1, 1, 1, 0, 5, 5, 10, 0, 5, 3, 0, 0, 11]"
4,execution,M1,5.422535211267606,27,35.13132315016861,13.225,14.706,"[0, 0, 7, 0, 3, 0, 0, 1, 3, 0, 24, 3, 7, 4, 9, 5, 3, 1, 1, 4, 1, 1, 0, 3, 0, 8, 8, 0, 0, 2, 5, 3, 0, 9, 5, 4, 2, 2, 0, 5, 11, 6, 1, 6, 0, 12, 4, 10, 0, 1, 16, 9, 5, 0, 5, 24, 27, 11, 4, 1, 10, 0, 2, 7, 7, 0, 0, 2, 5, 13, 0, 0, 16, 3, 4, 7, 4, 13, 10, 2, 27, 2, 0, 8, 6, 3, 15, 1, 5, 2, 0, 2, 3, 11, 6, 9, 7, 11, 9, 2, 6, 0, 6, 6, 0, 3, 0, 1, 2, 3, 22, 15, 9, 1, 3, 0, 11, 0, 4, 19, 18, 3, 6, 2, 0, 5, 18, 8, 2, 0, 0, 13, 3, 11, 9, 11, 0, 13, 4, 0, 0, 13]"
5,execution,M1,4.859154929577465,31,26.318190835151754,16.011,17.551,"[2, 4, 6, 2, 1, 3, 4, 0, 4, 2, 21, 5, 6, 4, 5, 3, 2, 1, 0, 0, 2, 5, 0, 1, 1, 6, 7, 0, 0, 1, 3, 7, 0, 14, 5, 7, 0, 2, 0, 0, 4, 4, 2, 5, 0, 5, 3, 8, 0, 0, 8, 6, 7, 0, 7, 16, 6, 7, 0, 3, 2, 1, 6, 4, 11, 3, 2, 3, 5, 9, 4, 0, 15, 4, 6, 4, 3, 4, 8, 0, 31, 3, 0, 8, 2, 6, 10, 0, 5, 2, 5, 0, 1, 8, 4, 7, 4, 7, 14, 4, 4, 0, 3, 7, 0, 7, 1, 2, 3, 2, 13, 3, 7, 8, 13, 2, 12, 1, 2, 22, 25, 9, 4, 12, 0, 11, 16, 5, 2, 0, 0, 1, 1, 7, 12, 9, 2, 5, 6, 0, 0, 9]"
6,execution,M1,5.204225352112676,20,29.218855385836147,19.085,20.626,"[3, 8, 16, 0, 1, 1, 0, 1, 9, 0, 12, 0, 3, 19, 5, 4, 6, 3, 0, 1, 0, 3, 0, 0, 0, 8, 19, 0, 1, 2, 2, 12, 0, 16, 6, 1, 1, 7, 0, 1, 14, 15, 1, 2, 1, 11, 3, 10, 0, 4, 14, 5, 3, 1, 4, 19, 17, 16, 7, 2, 14, 0, 8, 11, 10, 1, 1, 7, 4, 7, 4, 0, 13, 0, 3, 3, 4, 4, 11, 0, 15, 4, 0, 4, 6, 2, 20, 0, 7, 1, 2, 0, 0, 4, 3, 4, 5, 6, 9, 7, 2, 0, 3, 8, 2, 6, 1, 3, 1, 12, 19, 9, 10, 5, 7, 2, 13, 3, 4, 18, 19, 7, 3, 1, 0, 4, 9, 7, 2, 1, 0, 1, 1, 3, 2, 11, 0, 3, 3, 0, 0, 10]"
7,execution,M1,4.661971830985915,24,26.35052568934735,22.263,23.651,"[0, 0, 2, 0, 1, 0, 0, 0, 0, 3, 24, 4, 9, 9, 3, 7, 5, 3, 0, 0, 0, 6, 0, 0, 0, 5, 14, 0, 0, 1, 8, 7, 0, 2, 2, 3, 1, 3, 0, 0, 2, 2, 0, 4, 3, 20, 3, 8, 1, 6, 16, 12, 3, 0, 2, 18, 10, 4, 1, 1, 11, 0, 9, 8, 5, 1, 1, 2, 2, 9, 4, 0, 21, 1, 4, 3, 2, 2, 13, 0, 13, 2, 3, 6, 2, 4, 9, 0, 7, 1, 2, 0, 0, 7, 4, 10, 3, 9, 18, 2, 4, 0, 2, 6, 1, 5, 0, 2, 3, 8, 15, 8, 13, 6, 4, 1, 12, 9, 4, 15, 13, 4, 10, 0, 0, 2, 16, 8, 0, 0, 0, 4, 3, 4, 5, 8, 3, 7, 4, 0, 0, 15]"
8,execution,M1,4.838028169014085,26,24.403342590755805,25.536,26.971,"[0, 1, 2, 12, 0, 2, 1, 0, 0, 1, 26, 5, 18, 6, 12, 3, 5, 1, 2, 1, 5, 3, 0, 3, 8, 9, 8, 0, 1, 0, 5, 4, 0, 7, 2, 0, 2, 1, 0, 1, 7, 2, 1, 0, 0, 5, 7, 6, 0, 7, 11, 7, 1, 2, 13, 12, 2, 7, 12, 2, 12, 0, 13, 11, 6, 2, 3, 6, 4, 9, 3, 1, 12, 4, 2, 1, 4, 5, 12, 0, 17, 0, 1, 7, 1, 6, 11, 0, 3, 1, 1, 0, 3, 3, 3, 10, 2, 7, 6, 0, 6, 0, 2, 6, 1, 6, 0, 1, 3, 10, 17, 6, 6, 6, 6, 1, 20, 4, 1, 10, 18, 4, 6, 10, 0, 2, 16, 12, 0, 0, 3, 3, 12, 8, 2, 5, 4, 8, 3, 0, 0, 6]"
9,execution,M1,4.915492957746479,26,24.387224756992655,28.195,29.641,"[2, 5, 5, 12, 5, 2, 1, 0, 0, 2, 22, 1, 9, 6, 13, 7, 3, 1, 1, 1, 5, 4, 1, 7, 5, 13, 14, 0, 1, 0, 6, 0, 0, 17, 1, 2, 1, 6, 0, 0, 4, 4, 0, 0, 1, 4, 11, 1, 1, 4, 9, 6, 5, 4, 4, 14, 5, 6, 5, 3, 8, 0, 16, 4, 8, 2, 3, 5, 4, 11, 2, 0, 12, 3, 6, 2, 3, 2, 12, 0, 26, 3, 0, 8, 6, 5, 14, 0, 12, 2, 1, 0, 5, 4, 17, 6, 5, 7, 5, 1, 1, 0, 4, 5, 0, 4, 0, 1, 3, 12, 14, 8, 8, 9, 11, 0, 15, 0, 1, 2, 16, 1, 3, 5, 0, 9, 7, 11, 0, 0, 3, 1, 2, 5, 6, 6, 2, 6, 4, 0, 1, 10]"
