trial_id,trial_type,trial_version,maze_id,success,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split,move_onset_time_seconds,start_time_seconds,end_time_seconds,target_on_time_seconds,go_cue_time_seconds
0,11,1,76,True,758,565,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,val,2.171,0.0,3.421,0.848,1.413
1,12,0,77,True,256,148,1,[[-77  82]],0,[],0,train,4.58,3.5,5.631,4.176,4.324
2,4,1,4,True,370,181,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train,6.91,5.7,8.536,6.359,6.54
3,8,2,10,True,348,898,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,val,10.607,8.6,11.746,9.361,10.259
4,7,2,8,True,325,632,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train,13.55,11.8,14.706,12.593,13.225
5,4,1,4,True,323,531,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,val,16.334,14.8,17.551,15.48,16.011
6,8,2,10,True,346,665,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,train,19.431,17.6,20.626,18.42,19.085
7,7,0,8,True,296,864,1,[[-92  81]],0,[],0,train,22.559,20.7,23.651,21.399,22.263
8,6,1,7,True,285,915,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,val,25.821,23.7,26.971,24.621,25.536
9,3,1,3,True,317,464,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train,28.512,27.0,29.641,27.731,28.195
10,10,2,75,True,363,914,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train,31.91,29.7,33.036,30.633,31.547
11,8,0,10,True,308,965,1,[[-91 -70]],0,[],0,train,35.181,33.1,36.226,33.908,34.873
12,7,0,8,True,330,848,1,[[-92  81]],0,[],0,val,38.24,36.3,39.276,37.062,37.91
13,3,1,3,True,351,32,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train,40.489,39.3,41.656,40.106,40.138
14,2,0,2,True,290,832,1,[[104  80]],0,[],0,train,43.63,41.7,44.661,42.508,43.34
15,10,2,75,True,342,765,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train,46.526,44.7,47.691,45.419,46.184
16,4,0,4,True,305,498,1,[[-100   35]],0,[],0,train,49.502,47.8,50.581,48.699,49.197
17,7,1,8,True,319,715,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train,52.459,50.6,53.631,51.425,52.14
18,3,2,3,True,322,932,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,train,55.819,53.7,56.956,54.565,55.497
19,7,0,8,True,299,782,1,[[-92  81]],0,[],0,train,58.931,57.0,60.081,57.85,58.632
20,8,2,10,True,394,999,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,train,62.341,60.1,63.446,60.948,61.947
21,2,1,2,True,296,548,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train,65.227,63.5,66.336,64.383,64.931
22,6,0,7,True,243,665,1,[[117  15]],0,[],0,train,68.202,66.4,69.221,67.294,67.959
23,12,1,77,True,322,482,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train,71.019,69.3,72.216,70.215,70.697
24,3,0,3,True,292,181,1,[[125 -64]],0,[],0,train,73.456,72.3,74.456,72.983,73.164
25,12,2,77,True,320,965,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,val,76.697,74.5,77.911,75.412,76.377
