x,y,z,imp,location,filtering,group,group_name
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
,,,,PMd,1000 Hz,"electrode_group_PMd pynwb.ecephys.ElectrodeGroup at 0x6096604480
Fields:
  description: Electrodes in implanted Utah Array in PMd
  device: electrode_array_PMd pynwb.device.Device at 0x6096344544
Fields:
  description: 96-electrode Utah array in PMd
  manufacturer: Blackrock Microsystems

  location: Dorsal premotor cortex
",electrode_group_PMd
